Date,BTC,FOR,KB3,BWK,WAGE,XAP,GIN,XGS
5/11/2018,8993.3,0.0317921,0.00733631,1.31844,0.05512892899999999,0.13930621699999998,4.440172076,
5/11/2018,8993.3,0.0317921,0.00733631,1.31844,0.05512892899999999,0.13930621699999998,4.440172076,
5/12/2018,8437.03,0.02855,0.00701434,1.10471,0.053996992,0.11600916250000001,4.1341447,
5/17/2018,8386.97,0.0262216,0.00610172,1.15163,0.08814705469999999,0.112385398,5.210405112499999,
5/19/2018,8262.29,0.0259884,0.00619848,1.26463,0.07419536420000002,0.13219664,6.9402409771,
5/20/2018,8282.21,0.0256396,0.00610804,1.37186,0.061868108699999994,0.13591106609999998,6.459295579,
5/21/2018,8497.53,0.0255958,0.0065899,1.38537,0.07052949900000001,0.1293324066,6.1587548181,
5/22/2018,8345.71,0.0216299,0.0064593,1.42387,0.05933799809999999,0.1295254192,5.975611817099999,
5/24/2018,7650.39,0.0238327,0.00571855,1.12626,0.0556183353,0.1066464366,6.7860489378,
5/27/2018,7316.94,0.0196203,0.00532914,1.02529,0.044999181,0.11370524759999999,8.343506682,
5/28/2018,7416.93,0.0213445,0.00583898,1.15369,0.0554786364,0.11525909220000001,7.5232146069,
5/29/2018,7144.65,0.0193299,0.00509075,0.998257,0.038581109999999995,0.10502635499999999,7.616911364999999,
5/30/2018,7512.03,0.0192577,0.00553944,1.0867,0.0365084658,0.11207948759999999,8.346766773599999,
6/1/2018,7508.43,0.0179178,0.0056573,1.05756,0.0304842258,0.10061296200000001,7.771225049999999,
6/2/2018,7510.36,0.0233795,0.00509981,1.03736,0.023732737599999998,0.10086413479999999,7.675587919999999,
6/3/2018,7647.13,0.020863,0.00491626,1.00529,0.026000242,0.1072892339,7.4327044748,
6/4/2018,7709.8,0.0227201,0.00511676,0.993764,0.031224690000000003,0.115569902,7.7946078,
6/5/2018,7631.02,0.0230809,0.00532524,0.952854,0.0231219906,0.1191965324,7.149807878800001,
6/6/2018,7618.36,0.0230243,0.00466485,0.95541,0.023083630799999998,0.12105574039999999,7.1269757799999995,
6/13/2018,6315.97,0.0139909,0.00375734,0.731518,0.0264639143,0.0708020237,9.010489121400001,
6/14/2018,6507.0,0.0147319,0.00422446,0.922854,0.023099849999999998,0.07632711,9.37008,
6/15/2018,6550.44,0.0161084,0.00423656,0.787094,0.0218784696,0.079587846,12.58339524,
6/16/2018,6503.86,0.0168953,0.00431137,0.78232,0.0245195522,0.0941108542,14.8470766466,
6/17/2018,6562.86,0.0167052,0.00412883,0.788292,0.0236919246,0.0789512058,13.758117189599998,
6/18/2018,6495.01,0.0159238,0.00362919,0.763167,0.0189654292,0.08813728570000001,12.931499959900002,
6/19/2018,6709.92,0.0154213,0.00388614,0.768507,0.0217401408,0.087564456,11.406863999999999,
6/20/2018,6639.39,0.0145864,0.004271,0.734037,0.0187230798,0.1052343315,10.6365019617,
6/21/2018,6739.04,0.0158498,0.00453806,0.774201,0.0184649696,0.12062881600000001,12.348819067199999,
6/22/2018,6683.27,0.0158659,0.00456294,0.774434,0.014235365100000001,0.11729138850000001,12.698213,
6/23/2018,6140.33,0.013206,0.0041453,0.701501,0.0182367801,0.10481543310000001,12.268502146600001,
6/24/2018,5908.42,0.0126846,0.00377274,0.678924,0.0177843442,0.1062924758,10.458966915600001,
6/25/2018,6146.18,0.0117797,0.00396474,0.712362,0.019606314200000002,0.10454652180000001,10.755815,
6/26/2018,6253.35,0.0101815,0.00388394,0.658533,0.019072717500000003,0.1122476325,10.424334450000002,
6/27/2018,6075.09,0.0128317,0.00339377,0.6412,0.0163419921,0.10479530249999999,9.7282238697,
6/28/2018,6109.88,0.0114522,0.00361776,0.67653,0.014358218,0.133806372,10.42040034,
6/29/2018,5901.23,0.0096532,0.0033539,0.635449,0.012864681399999998,0.11979496899999999,9.685688799,
6/30/2018,6394.55,0.0119414,0.00383527,0.741057,0.013940118999999999,0.14048826350000002,10.2411915525,
7/1/2018,6354.74,0.0108223,0.00330408,0.70292,0.014615902,0.1389781638,10.5488684,
7/2/2018,6363.41,0.0110254,0.0033728,0.662325,0.013299526899999999,0.1272682,10.294724698,
7/3/2018,6652.08,0.0129906,0.00344663,0.699271,0.013636764,0.0852796656,10.8502742088,
7/4/2018,6487.69,0.0114528,0.00323081,0.647842,0.014272917999999999,0.0698724213,10.768916631,
7/5/2018,6653.61,0.0129234,0.00350654,0.757335,0.016168272299999998,0.06986290499999999,10.732672146599999,
7/6/2018,6633.76,0.0127356,0.00316529,0.744919,0.0165180624,0.0685267408,9.6191510128,
7/7/2018,6659.27,0.0153094,0.0030547,0.749167,0.0093895707,0.062130989100000006,9.988905,
7/8/2018,6823.73,0.0135131,0.00278262,0.783136,0.0083931879,0.0670772659,9.4168156373,
7/9/2018,6776.02,0.0127547,0.00272758,0.895321,0.0080634638,0.052649675400000005,8.3347078806,
7/10/2018,6732.61,0.0142591,0.00300099,0.873198,0.0131285895,0.050157944499999996,8.1128623761,
7/11/2018,6379.18,0.0122786,0.00247592,0.81236,0.009887729,0.0458025124,7.017098000000001,
7/12/2018,6203.23,0.012152,0.00215475,0.752822,0.0088706189,0.04838519399999999,7.2154110391,0.7926487294
7/13/2018,6262.56,0.0158074,0.0023144,0.739125,0.008892835200000001,0.052167124800000006,7.341661713600001,0.7201944
7/14/2018,6240.81,0.00653121,0.00211414,0.757079,0.0083002773,0.05055056100000001,8.113053,0.8417604528000001
7/15/2018,6358.94,0.00973729,0.00254932,0.811734,0.009538409999999999,0.0477556394,7.757906799999999,0.7312145106
7/16/2018,6374.35,0.00999647,0.00253388,0.847284,0.012621213000000001,0.049592443,8.12729625,0.573818987
7/17/2018,6749.49,0.00930546,0.00277915,0.898442,0.0108666789,0.0487313178,8.099388,0.5903778903
7/18/2018,7450.54,0.0128264,0.00331573,1.01074,0.0124424018,0.0534203718,8.9562196286,0.49888815839999995
7/19/2018,7328.56,0.012576,0.00265942,0.890786,0.0096004136,0.051226634400000005,8.7941987144,0.44000674240000004
7/20/2018,7460.67,0.0127506,0.00290143,0.961136,0.011265611699999999,0.0518516565,8.4137705925,0.3227485842
7/21/2018,7300.99,0.0129637,0.00308019,1.0389,0.011681583999999998,0.0463612865,8.1066542465,0.2783867487
7/22/2018,7424.82,0.0123769,0.00281007,0.947132,0.012547945799999998,0.043806438,7.2036346122,0.16705845
7/23/2018,7617.81,0.0118002,0.00304631,1.025,0.015083263800000002,0.032756583000000006,6.780612681,0.1829036181
7/24/2018,7774.06,0.0111722,0.0028712,0.868325,0.013993308,0.0426018488,6.2757654162000005,0.15664730899999998
7/25/2018,8270.06,0.0123647,0.00340554,0.915459,0.018028730799999997,0.040440593399999995,5.9131756006,0.169949733
7/26/2018,8217.38,0.01185,0.00329652,1.02174,0.0165991076,0.0377177742,5.8492954316,0.18899973999999997
7/27/2018,7910.16,0.00968588,0.00339464,1.01102,0.0159785232,0.0335390784,5.4266070648,0.18319930559999997
7/28/2018,8167.01,0.00995585,0.00362986,1.08265,0.0151906386,0.0369965553,5.6124509421,0.2818435151
7/29/2018,8231.06,0.00961792,0.00353205,1.11231,0.016873673,0.032512687,5.5971208,0.22676570299999999
7/30/2018,8186.14,0.0107893,0.00398858,1.06884,0.015553666,0.037246937,5.0754886614000005,0.21365825400000002
7/31/2018,8150.02153962,0.0103843485,0.0038390427,1.0413527332,0.0141810374789388,0.031214582496744598,4.237848200171608,0.21190056003011998
8/1/2018,7558.61453609,0.0081296961,0.0030052116,0.937822435,0.0157975043804281,0.03023445814436,4.006141290273061,0.17392372047543092
8/2/2018,7672.99357813,0.0081146883,0.0029878212,1.0662016338,0.015269257220478701,0.037597668532837,4.5564537765009385,0.1721052459574559
8/3/2018,7364.84712641,0.0089495019,0.0027898479,0.9545655821,0.0150242881378764,0.0406539561377832,4.6411057136497895,0.1492118027810666
8/4/2018,7474.82306375,0.0088091015,0.0032814925,0.9718992451,0.0148748978968625,0.0436529666923,5.0826554386580876,0.1814139557572125
8/5/2018,7022.92636447,0.0067721293,0.0031155158,0.9203219156,0.013835164938005903,0.03764288531355921,4.45969869996574,0.13343560092493
8/6/2018,7131.23762744,0.0078733169,0.0030576779,0.9317771475,0.014690349512526402,0.0401488678424872,4.480057414686631,0.14911417878977043
8/7/2018,6962.0641175,0.0062519796,0.0029802574,0.9132188742,0.015038058493800001,0.039057179699175,4.522904953933875,0.149753999167425
8/8/2018,6632.16687804,0.005989467,0.0024307742,0.8595136786,0.0124684737307152,0.036476917829219996,4.70890480507718,0.14365273457834637
8/9/2018,6342.57641093,0.0065550757,0.0026534107,0.8201142236,0.0118606178884391,0.034884170260115,4.630144205743009,0.1267881024544907
8/10/2018,6508.39488793,0.0061701796,0.0026079066,0.8382007942,0.0143835527023253,0.029548112791202195,5.206715910344,0.1070630959064485
8/11/2018,6152.67168172,0.0058242207,0.0024910869,0.8035027561,0.012982137248429202,0.030763358408600006,4.745248034526551,0.08613740354408
8/12/2018,6318.89986799,0.0057926686,0.0031409874,0.8218687841,0.0142175247029775,0.0317840663359897,4.7391749009924995,0.0820193202865102
8/13/2018,6364.16451321,0.0049631894,0.0026944743,0.8403966464,0.013110178897212601,0.029020590180237605,4.568515495807799,0.07821558186735089
8/14/2018,6010.45453368,0.0035919632,0.00262429,0.8039096343,0.0130426863380856,0.0238013999533728,4.00897317396456,0.060705590790168004
8/15/2018,6318.07079683,0.0043079773,0.0025939378,0.8393084073,0.0128256837175649,0.0072657814163545,3.8919316108472803,0.036644810621614
8/16/2018,6313.30317601,0.0052011063,0.0025174187,0.9022551216,0.011300812685057901,0.0181823131469088,4.173409064501411,0.0386374154371812
8/17/2018,6434.63729678,0.0053209439,0.0025069893,0.862316391,0.010681497912654799,0.0202047611118892,4.196863484078819,0.0480023942339788
8/18/2018,6542.00192778,0.0047072472,0.0027227833,0.9285719309,0.0117101834507262,0.021915706458063,4.37987029064871,0.0530556356342958
8/19/2018,6368.43796838,0.0032412793,0.002466491,0.8927819388,0.011463188343084,0.0177679419317802,4.091020866507628,0.0517117163032456
8/20/2018,6515.54664423,0.0058277628,0.0026645053,0.9730934385,0.011076429295191,0.014399358083748301,4.133202169233743,0.0521895286202823
8/21/2018,6349.13509732,0.0046786341,0.0026358778,0.9101934406,0.010539564261551199,0.0137141318102112,4.043129229973376,0.0461582121575164
8/22/2018,6730.94474081,0.0056541198,0.0026483576,0.9604423109,0.0117791532964175,0.013865746166068602,4.30107368937759,0.042135714077470604
8/23/2018,6426.38984065,0.0045550612,0.0024480113,0.8688370982,0.012659987986080501,0.013238363071739001,3.9123861349877207,0.037401588872583005
8/24/2018,6517.86895467,0.0058670573,0.0025443512,0.9120269269,0.011080377222939,0.0181848543835293,4.00848940712205,0.052077772947813294
8/25/2018,6759.58830929,0.0056257522,0.0026287195,0.9222323603,0.0123024507229078,0.0174397378379682,4.1946625253299095,0.0370425439349092
8/26/2018,6654.62660292,0.0069172341,0.0024949878,0.9094310967,0.0100484861704092,0.0170358441034752,4.321714154734336,0.0332731330146
8/27/2018,6699.1010623,0.0064841968,0.0026532586,0.929642997,0.010785552710303,0.01607784254952,4.2220414535039525,0.033629487332746004
8/28/2018,6890.06954401,0.0055062106,0.0026319327,0.9144567557,0.0093704945798536,0.0175696773372255,3.925961626176898,0.0349326525881307
8/29/2018,7047.74708902,0.0062708645,0.0025621088,0.9428573946,0.0078934767397024,0.0185355748441226,3.867662647512396,0.0325605915512724
8/30/2018,7025.23875039,0.0046397572,0.0028818536,0.9383502978,0.0078682674004368,0.016158049125897,3.372255104962208,0.0384983083521372
8/31/2018,6995.79027166,0.0042965471,0.0026173807,0.9472640635,0.0091644852558746,0.0174195177764334,3.7070692649526342,0.0331600458876684
9/1/2018,7065.84811298,0.0041686128,0.0025401678,0.9303954465,0.009538894952523,0.017947254206969198,3.460569771813085,0.03532924056490001
9/2/2018,7185.37500102,0.0056001069,0.0026684687,0.9499758777,0.007257228751030201,0.0162389475023052,3.5934060380101016,0.0304659900043248
9/3/2018,7276.38258861,0.0036639464,0.0027599475,0.9672888189,0.007058091110951701,0.0120060312712065,3.6536172253928534,0.029178294180326098
9/4/2018,7262.82268797,0.0040631741,0.002751842,0.9380222389,0.008424874318045198,0.0105310928975565,3.63133871575812,0.022006352744549096
9/5/2018,7373.96561172,0.0034643909,0.0027578647,0.9396091045,0.010692250136994002,0.0104710311686424,3.369976024212157,0.0190985709343548
9/6/2018,6450.40558103,0.0037196839,0.0026168197,0.8319035329,0.007095446139133,0.0078049907530463,2.9671865672738,0.0145134125573175
9/7/2018,6535.38364599,0.0032542659,0.002450299,0.8526747419,0.0100644908148246,0.009345598613765702,2.9447131632101744,0.0159463360962156
9/8/2018,6478.36531217,0.0027136949,0.0024418699,0.8584217887,0.0097823316213767,0.0110780046838107,2.7856970842331,0.014835456564869301
9/9/2018,6204.5066234,0.0029562441,0.0023117606,0.8500331996,0.007941768477952,0.009120624736397999,2.4554334962105497,0.014890815896159999
9/10/2018,6342.13367136,0.0016444797,0.002395217,0.8574175256,0.010083992537462401,0.0097034645171808,2.301750573346685,0.012557424669292801
9/11/2018,6397.28475844,0.0026072535,0.002404642,0.8688410081,0.0076127688625436,0.0094679814424912,2.0799491935115975,0.01279456951688
9/12/2018,6291.07238256,0.0026514972,0.0022548172,0.8568818386,0.0079267512020256,0.0095624300214912,1.9360146150090143,0.0124563233174688
9/13/2018,6413.03781561,0.0025557813,0.0021346265,0.836020616,0.006797820084546599,0.0094912959671028,2.379301159969466,0.018597809665269
9/14/2018,6581.31508124,0.0016541424,0.0020354062,0.8548314652,0.008818962208861601,0.010530104129984,2.95501047147676,0.021060208259968
9/15/2018,6506.12490163,0.0019483662,0.0018943802,0.8496095835,0.0085880848701516,0.0137929847914556,3.116238644133721,0.020884660934232302
9/16/2018,6517.85492474,0.0021414701,0.0017716918,0.859365648,0.0082776757544198,0.015577673270128599,3.2393087190465324,0.0183151723385194
9/17/2018,6522.37529561,0.0039119279,0.001766352,0.8357769555,0.0061962565308295,0.021523838475513,3.1813537741867335,0.0102401292141077
9/18/2018,6277.24607872,0.0036903463,0.0017346779,0.779485587,0.0070932880689535995,0.018894510696947198,2.87497870405376,0.0133077616868864
9/19/2018,6357.47764046,0.002724906,0.0017670708,0.7876881657,0.005721729876414,0.0200896293438536,2.974028040207188,0.013541427374179798
9/20/2018,6414.60730713,0.0041327348,0.0014801854,0.8014605791,0.007440944476270799,0.014817742879470299,2.7262081055302496,0.0124443381758322
9/21/2018,6564.48910804,0.0039271843,0.0018003944,0.8132972783,0.006630133999120401,0.0164768676611804,2.94089112040192,0.013457202671482
9/22/2018,6745.82052064,0.0037733786,0.00191327,0.8479220978,0.007420402572704,0.0188208392525856,3.0701578353536765,0.014166223093343998
9/23/2018,6703.28048894,0.0050213504,0.0019889235,0.8222265257,0.0066362476840506005,0.0133395281729906,3.0694991686905158,0.013808757807216403
9/24/2018,6708.21040574,0.0056857163,0.0019627875,0.8305445583,0.006037389365166,0.019453810176646002,2.953759205855437,0.01341642081148
9/25/2018,6483.4960538,0.0043227079,0.0019203842,0.7918899814,0.006483496053799999,0.013550506752441998,2.820320783403,0.00486262204035
9/26/2018,6417.333842,0.0040935365,0.0020963445,0.7834119597,0.0071232405646199995,0.015080734528699999,2.7697212862072,0.00904844071722
9/27/2018,6522.54520625,0.0029204006,0.002070797,0.8030377144,0.006913897918625,0.015523657590875,2.9151211290293126,0.010436072329999999
9/28/2018,6710.98139251,0.0040945579,0.0021380298,0.8528632082,0.0075834089735363,0.013958841296420799,2.8520999820028248,0.010066472088765
9/29/2018,6522.0339818,0.0037064171,0.0018654951,0.8096432484,0.0062611526225279995,0.014152813740506,3.0234192929430264,0.01141355946815
9/30/2018,6590.02668722,0.0026934102,0.0017633201,0.7809194636,0.0060628245522424,0.015816064049327998,2.8337114755046,0.0086329349602582
10/1/2018,6647.25993333,0.0029805969,0.0011086283,0.8061372783,0.0057831161419971,0.0161528416379919,2.844960778865907,0.0120315404793273
10/2/2018,6598.50880221,0.003751238,0.0019062318,0.8092023362,0.006928434242320499,0.0156384658612377,2.6448802831898344,0.0142527790127736
10/3/2018,6472.74370371,0.0039420074,0.0017432753,0.7753324068,0.006731653451858399,0.0176705903111283,2.459577879972763,0.0147578556444588
10/4/2018,6585.5545675,0.004010972,0.0015770168,0.8004143383,0.0068489767502,0.016529741964425002,2.7989265467331754,0.01962495261115
10/5/2018,6566.35022987,0.0041240445,0.0018394303,0.7649697284,0.005253080183895999,0.016678529583869797,2.6493909907479476,0.0214719652516749
